time,angle,velocity,torque,control
1.010000,-2.885672,0.002039,0.104363,0.000000
1.020000,-2.885672,-0.019681,-0.322379,0.000000
1.030000,-2.885672,-0.004396,-0.153846,0.000000
1.040000,-2.885672,-0.001309,-0.458265,0.000000
1.050000,-2.885672,-0.003143,-0.101075,0.000000
1.060000,-2.885672,-0.003537,-0.125224,0.000000
1.070000,-2.885672,-0.010688,0.122764,0.000000
1.080000,-2.885672,-0.006002,-0.338462,0.000000
1.090000,-2.885672,0.000032,-0.063125,0.000000
1.100000,-2.885672,-0.011447,0.314752,0.000000
1.110000,-2.885672,-0.010320,-0.191289,0.000000
1.120000,-2.885672,-0.004396,0.436002,0.000000
1.130000,-2.885672,-0.011446,-0.204446,0.000000
1.140000,-2.885672,-0.004396,-0.338462,0.000000
1.150000,-2.885672,-0.009983,-0.170532,0.000000
1.160000,-2.885672,-0.006050,0.099556,0.000000
1.170000,-2.885672,-0.013187,-0.439496,0.000000
1.180000,-2.885672,-0.012165,-0.251146,0.000000
1.190000,-2.885672,-0.009345,0.238182,0.000000
1.200000,-2.885672,-0.012990,-0.215385,0.000000
1.210000,-2.885672,0.007427,-0.080661,0.000000
1.220000,-2.885672,-0.000290,0.010137,0.000000
1.230000,-2.885672,0.000390,0.181889,0.000000
1.240000,-2.885672,-0.004396,-0.186739,0.000000
1.250000,-2.885672,-0.013187,-0.191991,0.000000
1.260000,-2.885672,-0.005954,0.805868,0.000000
1.270000,-2.885672,0.004396,0.180142,0.000000
1.280000,-2.885672,-0.004396,-0.153846,0.000000
1.290000,-2.885672,-0.005777,-0.080791,0.000000
1.300000,-2.885672,-0.004396,-0.107952,0.000000
1.310000,-2.885672,-0.004396,0.198345,0.000000
1.320000,-2.885672,-0.016810,0.276923,0.000000
1.330000,-2.885672,-0.004396,-0.248356,0.000000
1.340000,-2.885672,-0.001322,-0.073798,0.000000
1.350000,-2.885672,0.007020,-0.295292,0.000000
1.360000,-2.885672,-0.011046,-0.170434,0.000000
1.370000,-2.885672,-0.004396,0.272911,0.000000
1.380000,-2.885672,-0.016591,-0.030769,0.000000
1.390000,-2.885672,-0.004450,-0.334669,0.000000
1.400000,-2.885672,-0.008397,-0.083820,0.000000
1.410000,-2.885672,0.004396,-0.138316,0.000000
1.420000,-2.885672,-0.004581,-0.030769,0.000000
1.430000,-2.885672,-0.010718,-0.082618,0.000000
1.440000,-2.885672,0.000629,0.013261,0.000000
1.450000,-2.885672,-0.013187,-0.258223,0.000000
1.460000,-2.885672,0.001655,-0.961822,0.000000
1.470000,-2.885672,0.000512,-0.441516,0.000000
1.480000,-2.885672,0.001312,0.748626,0.000000
1.490000,-2.885672,-0.001095,-0.345770,0.000000
1.500000,-2.885672,-0.012071,-0.270060,0.000000
1.510000,-2.885672,-0.005464,-0.377559,0.000000
1.520000,-2.885672,-0.002579,0.546476,0.000000
1.530000,-2.885672,-0.008262,-0.257258,0.000000
1.540000,-2.885672,0.004396,0.301385,0.000000
1.550000,-2.885672,-0.000119,-0.143060,0.000000
1.560000,-2.885672,0.011097,-0.010070,0.000000
1.570000,-2.885672,0.004396,0.046166,0.000000
1.580000,-2.885672,0.002524,0.224524,0.000000
1.590000,-2.885672,0.001583,-0.326116,0.000000
1.600000,-2.885672,0.001401,-0.024075,0.000000
1.610000,-2.885672,-0.004396,-0.300752,0.000000
1.620000,-2.885672,-0.001536,-0.237638,0.000000
1.630000,-2.885672,-0.002162,0.107941,0.000000
1.640000,-2.885672,0.001208,0.143024,0.000000
1.650000,-2.885672,-0.003688,-0.348372,0.000000
1.660000,-2.885672,-0.004876,0.250005,0.000000
1.670000,-2.885672,-0.000991,-0.187638,0.000000
1.680000,-2.885672,-0.013187,0.288346,0.000000
1.690000,-2.885672,-0.010581,-0.030769,0.000000
1.700000,-2.885672,0.003416,-0.146986,0.000000
1.710000,-2.885672,-0.004396,0.566444,0.000000
1.720000,-2.885672,0.003607,-0.058384,0.000000
1.730000,-2.885672,-0.004396,-0.228354,0.000000
1.740000,-2.885672,0.001985,-0.562782,0.000000
1.750000,-2.885672,-0.003746,0.131094,0.000000
1.760000,-2.885672,-0.013187,0.000857,0.000000
1.770000,-2.885672,0.004396,-0.456968,0.000000
1.780000,-2.885672,-0.004396,0.231592,0.000000
1.790000,-2.885672,-0.013187,0.211733,0.000000
1.800000,-2.885672,0.002939,-0.039579,0.000000
1.810000,-2.885672,-0.004396,0.260171,0.000000
1.820000,-2.885672,-0.004396,-0.209457,0.000000
1.830000,-2.885672,-0.008261,-0.336069,0.000000
1.840000,-2.885672,0.003736,0.153846,0.000000
1.850000,-2.885672,-0.006333,-0.009909,0.000000
1.860000,-2.885672,-0.004396,-0.043987,0.000000
1.870000,-2.885672,-0.004396,0.099857,0.000000
1.880000,-2.885672,0.002528,0.368436,0.000000
1.890000,-2.885672,-0.007397,-0.216886,0.000000
1.900000,-2.885672,-0.002414,-0.100134,0.000000
1.910000,-2.885672,-0.000742,-0.122670,0.000000
1.920000,-2.885672,-0.010184,0.179446,0.000000
1.930000,-2.885672,-0.002214,-0.138575,0.000000
1.940000,-2.885672,0.004396,-0.317900,0.000000
1.950000,-2.885672,-0.013187,-1.083362,0.000000
1.960000,-2.885672,-0.000694,-0.215385,0.000000
1.970000,-2.885672,-0.000661,-0.426142,0.000000
1.980000,-2.885672,-0.007566,-0.205286,0.000000
1.990000,-2.885672,-0.004396,0.276488,0.000000
2.000000,-2.885672,-0.009182,-0.053992,0.000000
2.010000,-2.885672,0.001384,0.447580,0.000000
2.020000,-2.885672,-0.013187,-0.518559,0.000000
2.030000,-2.885672,-0.000048,0.124754,0.000000
2.040000,-2.885672,-0.005504,0.637882,0.000000
2.050000,-2.885672,0.002140,0.076517,0.000000
2.060000,-2.885672,0.001088,-0.606504,0.000000
2.070000,-2.885672,-0.004396,0.050394,0.000000
2.080000,-2.885672,-0.004396,0.009813,0.000000
2.090000,-2.885672,0.007008,-0.518143,0.000000
2.100000,-2.885672,0.001115,-0.384387,0.000000
2.110000,-2.885672,-0.012195,-0.120068,0.000000
2.120000,-2.885672,-0.013187,-0.203769,0.000000
2.130000,-2.885672,0.000619,-0.127408,0.000000
2.140000,-2.885672,0.003406,-0.505751,0.000000
2.150000,-2.885672,-0.001453,-0.010930,0.000000
2.160000,-2.885672,0.009475,-0.503230,0.000000
2.170000,-2.885672,-0.012068,-0.007269,0.000000
2.180000,-2.885672,0.000474,0.002421,0.000000
2.190000,-2.885672,-0.004396,-0.135950,0.000000
2.200000,-2.885672,-0.006543,-0.038771,0.000000
2.210000,-2.885672,0.002207,-0.585683,0.000000
2.220000,-2.885672,-0.006518,0.293992,0.000000
2.230000,-2.885672,-0.021849,-0.337556,0.000000
2.240000,-2.885672,0.004396,-0.322730,0.000000
2.250000,-2.885672,0.001683,-0.058894,0.000000
2.260000,-2.885672,-0.002045,-0.334875,0.000000
2.270000,-2.885672,-0.002702,-0.260534,0.000000
2.280000,-2.885672,-0.006976,-0.389290,0.000000
2.290000,-2.885672,0.013001,-0.025575,0.000000
2.300000,-2.885672,-0.004396,0.206120,0.000000
2.310000,-2.885672,-0.008179,-0.355595,0.000000
2.320000,-2.885672,-0.004396,0.235987,0.000000
2.330000,-2.885672,-0.004830,-0.229062,0.000000
2.340000,-2.885672,-0.004396,-0.243754,0.000000
2.350000,-2.885672,-0.005836,-0.287005,0.000000
2.360000,-2.885672,-0.006693,-0.474823,0.000000
2.370000,-2.885672,-0.011600,-0.327354,0.000000
2.380000,-2.885672,-0.004396,-0.292744,0.000000
2.390000,-2.885672,0.003865,-0.373980,0.000000
2.400000,-2.885672,-0.008871,-0.087819,0.000000
2.410000,-2.885672,0.001467,0.215429,0.000000
2.420000,-2.885672,-0.008275,-0.058812,0.000000
2.430000,-2.885672,-0.029885,-0.695307,0.000000
2.440000,-2.885672,-0.004396,0.015725,0.000000
2.450000,-2.885672,-0.006251,-0.406160,0.000000
2.460000,-2.885672,-0.007101,0.163304,0.000000
2.470000,-2.885672,0.000128,-0.152059,0.000000
2.480000,-2.885672,0.004396,-0.078518,0.000000
2.490000,-2.885672,-0.004396,0.204882,0.000000
2.500000,-2.885672,-0.004396,-0.204465,0.000000
