time,angle,velocity,torque,control
0.000000,-0.147440,0.004396,-0.030769,0.000000
0.010000,-0.147440,0.002971,-0.170413,0.000000
0.020000,-0.147440,-0.007547,-0.030769,0.000000
0.030000,-0.147440,-0.009741,-0.145478,0.000000
0.040000,-0.147440,-0.004396,0.442180,0.000000
0.050000,-0.147440,-0.004396,-0.056478,0.000000
0.060000,-0.147440,-0.001919,0.131746,0.000000
0.070000,-0.147440,-0.013187,0.210919,0.000000
0.080000,-0.147440,-0.004396,0.348955,0.000000
0.090000,-0.147440,-0.004396,0.225327,0.000000
0.100000,-0.147440,-0.013187,-0.376358,0.000000
0.110000,-0.147440,-0.004396,0.235159,0.000000
0.120000,-0.147440,-0.000676,-0.425945,0.000000
0.130000,-0.147440,-0.002051,0.281038,0.000000
0.140000,-0.147440,-0.013187,-0.561589,0.000000
0.150000,-0.147440,-0.004396,-0.197035,0.000000
0.160000,-0.147440,-0.004144,-0.087027,0.000000
0.170000,-0.147440,-0.004396,0.689797,0.000000
0.180000,-0.147440,0.001676,-1.330655,0.000000
0.190000,-0.147440,-0.001647,0.369128,0.000000
0.200000,-0.147440,-0.003702,0.110123,0.000000
0.210000,-0.147440,0.000655,0.185280,0.000000
0.220000,-0.147440,-0.006334,0.431592,0.000000
0.230000,-0.147440,-0.010966,-0.153209,0.000000
0.240000,-0.147440,-0.005281,-0.873705,0.000000
0.250000,-0.147440,-0.006542,-0.248300,0.000000
0.260000,-0.147440,-0.002168,0.323711,0.000000
0.270000,-0.147440,-0.004396,0.220659,0.000000
0.280000,-0.147440,-0.000049,-0.064628,0.000000
0.290000,-0.147440,-0.004396,-0.025513,0.000000
0.300000,-0.147440,0.000015,-0.000312,0.000000
0.310000,-0.147440,0.004396,0.350451,0.000000
0.320000,-0.147440,-0.009550,-0.236630,0.000000
0.330000,-0.147440,-0.004396,-0.069041,0.000000
0.340000,-0.147440,-0.004396,-0.227313,0.000000
0.350000,-0.147440,0.003465,-0.286339,0.000000
0.360000,-0.147440,-0.013187,-0.042902,0.000000
0.370000,-0.147440,-0.004396,-0.037560,0.000000
0.380000,-0.147440,-0.004396,0.573251,0.000000
0.390000,-0.147440,-0.004396,0.059280,0.000000
0.400000,-0.147440,-0.010297,-0.276074,0.000000
0.410000,-0.147440,-0.004746,-0.092308,0.000000
0.420000,-0.147440,-0.004984,0.642036,0.000000
0.430000,-0.147440,0.002903,0.153846,0.000000
0.440000,-0.147440,0.003841,-0.503677,0.000000
0.450000,-0.147440,0.000425,-0.320611,0.000000
0.460000,-0.147440,0.001762,0.147888,0.000000
0.470000,-0.147440,-0.004396,-0.114578,0.000000
0.480000,-0.147440,0.000689,-0.189437,0.000000
0.490000,-0.147440,-0.004396,-0.080060,0.000000
0.500000,-0.147440,0.002655,0.203818,0.000000
0.510000,-0.147440,-0.004396,0.215137,0.000000
0.520000,-0.147440,-0.007722,0.747616,0.000000
0.530000,-0.147440,-0.004396,-0.543121,0.000000
0.540000,-0.147440,-0.004396,0.320318,0.000000
0.550000,-0.147440,-0.004396,0.043026,0.000000
0.560000,-0.147440,-0.004396,0.082422,0.000000
0.570000,-0.147440,-0.000724,0.431147,0.000000
0.580000,-0.147440,-0.004396,-0.143328,0.000000
0.590000,-0.147440,0.002447,0.071347,0.000000
0.600000,-0.147440,-0.004396,-0.314905,0.000000
0.610000,-0.147440,0.000697,0.225138,0.000000
0.620000,-0.147440,-0.002586,-0.177393,0.000000
0.630000,-0.147440,-0.008194,-0.295892,0.000000
0.640000,-0.147440,0.004396,0.061195,0.000000
0.650000,-0.147440,0.000441,0.118494,0.000000
0.660000,-0.147440,-0.004396,-0.355289,0.000000
0.670000,-0.147440,-0.004396,-0.030769,0.000000
0.680000,-0.147440,-0.002963,0.205353,0.000000
0.690000,-0.147440,-0.004396,-0.411291,0.000000
0.700000,-0.147440,-0.005547,0.038829,0.000000
0.710000,-0.147440,-0.004396,-0.642608,0.000000
0.720000,-0.147440,-0.004396,-0.049690,0.000000
0.730000,-0.147440,-0.004396,0.594381,0.000000
0.740000,-0.147440,-0.013187,0.018039,0.000000
0.750000,-0.147440,-0.004738,-0.314499,0.000000
0.760000,-0.147440,-0.008485,0.089384,0.000000
0.770000,-0.147440,-0.011291,0.059124,0.000000
0.780000,-0.147440,-0.013083,0.030404,0.000000
0.790000,-0.147440,-0.000332,-0.390703,0.000000
0.800000,-0.147440,-0.004396,0.099306,0.000000
0.810000,-0.147440,-0.004396,0.179296,0.000000
0.820000,-0.147440,-0.004396,-0.167922,0.000000
0.830000,-0.147440,-0.003368,0.581416,0.000000
0.840000,-0.147440,-0.005461,0.055028,0.000000
0.850000,-0.147440,-0.004396,0.461983,0.000000
0.860000,-0.147440,-0.004396,-0.299599,0.000000
