time,angle,velocity,torque,control
0.000000,-0.375563,0.004396,-0.092308,0.000000
0.010000,-0.375563,-0.004396,0.246757,0.000000
0.020000,-0.375563,-0.004396,0.077945,0.000000
0.030000,-0.375563,-0.004396,-0.126421,0.000000
0.040000,-0.375563,-0.004396,0.045973,0.000000
0.050000,-0.375563,-0.015649,-0.397565,0.000000
0.060000,-0.375563,-0.017692,0.149254,0.000000
0.070000,-0.375563,-0.013187,0.196933,0.000000
0.080000,-0.375563,0.000914,-0.175147,0.000000
0.090000,-0.375563,-0.006280,0.345080,0.000000
0.100000,-0.375563,0.002750,0.453954,0.000000
0.110000,-0.375563,-0.000030,0.032459,0.000000
0.120000,-0.375563,-0.011425,0.430711,0.000000
0.130000,-0.375563,-0.004396,-0.295283,0.000000
0.140000,-0.375563,-0.013187,-0.177398,0.000000
0.150000,-0.375563,-0.004396,-0.303816,0.000000
0.160000,-0.375563,-0.008534,-0.155707,0.000000
0.170000,-0.375563,-0.004396,-0.155188,0.000000
0.180000,-0.375563,-0.013187,-0.194407,0.000000
0.190000,-0.375563,-0.004396,-0.140378,0.000000
0.200000,-0.375563,-0.004396,0.692018,0.000000
0.210000,-0.375563,0.004396,0.666978,0.000000
0.220000,-0.375563,-0.004396,0.274175,0.000000
0.230000,-0.375563,0.003176,0.105109,0.000000
0.240000,-0.375563,-0.004396,0.207665,0.000000
0.250000,-0.375563,-0.004396,-0.243413,0.000000
0.260000,-0.375563,-0.001353,0.274575,0.000000
0.270000,-0.375563,-0.013187,-0.012627,0.000000
0.280000,-0.375563,-0.005802,-0.798757,0.000000
0.290000,-0.375563,-0.008918,-0.150309,0.000000
0.300000,-0.375563,-0.004396,-0.030769,0.000000
0.310000,-0.375563,-0.004396,0.216949,0.000000
0.320000,-0.375563,-0.000787,0.150627,0.000000
0.330000,-0.375563,-0.004396,-0.209061,0.000000
0.340000,-0.375563,-0.004396,0.335680,0.000000
0.350000,-0.375563,0.002174,0.121438,0.000000
0.360000,-0.375563,-0.006518,-0.170810,0.000000
0.370000,-0.375563,-0.004396,0.276923,0.000000
0.380000,-0.375563,-0.004396,0.512344,0.000000
0.390000,-0.375563,-0.007726,-0.070867,0.000000
0.400000,-0.375563,-0.011652,0.022949,0.000000
0.410000,-0.375563,-0.004396,0.083351,0.000000
0.420000,-0.375563,0.000940,0.063492,0.000000
0.430000,-0.375563,-0.004396,0.273928,0.000000
0.440000,-0.375563,-0.013187,-0.024159,0.000000
0.450000,-0.375563,-0.011001,0.186065,0.000000
0.460000,-0.375563,-0.009669,-0.560181,0.000000
0.470000,-0.375563,-0.004396,-0.172619,0.000000
0.480000,-0.375563,-0.010198,0.276923,0.000000
0.490000,-0.375563,-0.001682,-0.338462,0.000000
