time,angle,velocity,torque,control
1.050000,1.862936,-0.003275,0.029567,0.000000
1.060000,1.862936,0.002550,0.212318,0.000000
1.070000,1.862936,0.000420,-0.274963,0.000000
1.080000,1.862936,-0.003524,-0.556335,0.000000
1.090000,1.862936,-0.004396,-0.262692,0.000000
1.100000,1.862936,-0.000175,-0.311367,0.000000
1.110000,1.862936,-0.007506,0.157628,0.000000
1.120000,1.862936,-0.004396,-0.181763,0.000000
1.130000,1.862936,-0.004396,0.153846,0.000000
1.140000,1.862936,-0.004396,-0.153846,0.000000
1.150000,1.862936,-0.004396,-0.033973,0.000000
1.160000,1.862936,-0.004396,0.195195,0.000000
1.170000,1.862936,0.003905,0.249443,0.000000
1.180000,1.862936,-0.009723,0.746884,0.000000
1.190000,1.862936,-0.004396,0.113990,0.000000
1.200000,1.862936,-0.004396,-0.102992,0.000000
1.210000,1.862936,-0.004396,0.189577,0.000000
1.220000,1.862936,-0.011723,0.102596,0.000000
1.230000,1.862936,-0.003864,-0.319851,0.000000
1.240000,1.862936,-0.004396,0.064094,0.000000
1.250000,1.862936,0.004396,-0.203589,0.000000
1.260000,1.862936,-0.006049,0.544119,0.000000
1.270000,1.862936,0.000447,-0.248243,0.000000
1.280000,1.862936,-0.005810,0.102207,0.000000
1.290000,1.862936,-0.004396,0.252340,0.000000
1.300000,1.862936,-0.007996,-0.143248,0.000000
1.310000,1.862936,-0.012669,0.266051,0.000000
1.320000,1.862936,0.003118,0.013960,0.000000
1.330000,1.862936,-0.004396,0.150138,0.000000
1.340000,1.862936,-0.004396,-0.059060,0.000000
1.350000,1.862936,-0.003320,0.006869,0.000000
1.360000,1.862936,-0.012982,0.100894,0.000000
1.370000,1.862936,-0.003550,-1.300497,0.000000
1.380000,1.862936,0.004396,-0.121060,0.000000
1.390000,1.862936,-0.009948,-0.338462,0.000000
1.400000,1.862936,-0.009728,0.751065,0.000000
1.410000,1.862936,-0.004396,0.110934,0.000000
1.420000,1.862936,-0.014649,-0.112898,0.000000
1.430000,1.862936,-0.004396,-0.215385,0.000000
1.440000,1.862936,-0.012601,-0.038965,0.000000
1.450000,1.862936,-0.010463,-0.281255,0.000000
1.460000,1.862936,0.002867,-0.132444,0.000000
1.470000,1.862936,-0.004396,-0.215385,0.000000
1.480000,1.862936,0.000383,-0.048139,0.000000
1.490000,1.862936,-0.004396,0.397096,0.000000
1.500000,1.862936,-0.009646,0.043589,0.000000
1.510000,1.862936,-0.009400,0.101760,0.000000
1.520000,1.862936,-0.004396,0.314807,0.000000
1.530000,1.862936,-0.004396,-0.030769,0.000000
1.540000,1.862936,-0.004396,-0.049832,0.000000
1.550000,1.862936,-0.009369,0.063118,0.000000
1.560000,1.862936,0.002244,-0.214080,0.000000
1.570000,1.862936,-0.006807,0.018836,0.000000
1.580000,1.862936,-0.004396,0.165888,0.000000
1.590000,1.862936,-0.011920,-0.205411,0.000000
1.600000,1.862936,-0.004396,-0.002136,0.000000
1.610000,1.862936,-0.004396,-0.200873,0.000000
1.620000,1.862936,-0.004396,-0.081724,0.000000
1.630000,1.862936,0.004396,0.059970,0.000000
1.640000,1.862936,-0.004396,-0.012786,0.000000
1.650000,1.862936,-0.004396,0.057707,0.000000
1.660000,1.862936,-0.004396,0.038075,0.000000
1.670000,1.862936,-0.005840,0.157513,0.000000
1.680000,1.862936,-0.011869,-0.200005,0.000000
1.690000,1.862936,-0.002441,-0.242708,0.000000
