,Time (sec),Angle (rad),Speed (rad/sec),Current (units)
0,0.0,0.0,0.0,0
1,0.0005001069985155482,0.0,0.0,3
2,0.001091160000214586,0.0,0.0,0
3,0.0017667930005700327,0.0,0.0,3
4,0.002274979000503663,0.0,0.0,-1
5,0.002769673999864608,0.0003834951969714506,0.0,1
6,0.0033134190016426146,0.0003834951969714506,0.2617993877991494,2
7,0.003864954000164289,0.0003834951969714506,0.2792526803190927,3
8,0.004372092000267003,0.0003834951969714506,0.13962634015954636,-1
9,0.004906078000203706,0.0003834951969714506,0.0,1
10,0.005372391999117099,0.0007669903939429012,0.13962634015954636,0
11,0.005872568999620853,0.0007669903939429012,0.2792526803190927,3
12,0.006438628999603679,0.0011504855909143519,0.3665191429188092,2
13,0.007126681000954704,0.0011504855909143519,0.2792526803190927,2
14,0.00768442399930791,0.0015339807878858025,0.5235987755982988,2
15,0.008186402999854181,0.0019174759848572531,0.4188790204786391,2
16,0.008668811999086756,0.0023009711818284817,0.5934119456780721,1
17,0.0091385759988043,0.0026844663787999323,0.6108652381980153,-2
18,0.009607746000256157,0.003067961575771383,0.6632251157578453,3
19,0.010167117998207686,0.0034514567727428336,0.6806784082777885,2
20,0.010671517000446329,0.003834951969714284,0.8028514559173916,3
21,0.011242309999943245,0.004218447166685513,0.8377580409572782,10
22,0.011830753999674926,0.004985437560628414,0.9250245035569946,4
23,0.01245532800021465,0.005752427954571315,1.0297442586766545,4
24,0.01312986999982968,0.006135923151542766,1.064650843716541,3
25,0.013703029999305727,0.006902913545485445,1.064650843716541,2
26,0.014343369999551214,0.008053399136399797,1.1868238913561442,4
27,0.01492213999881642,0.008820389530342476,1.3089969389957472,2
28,0.015580317998683313,0.009587379924285377,1.413716694115407,3
29,0.016126095000799978,0.010737865515199507,1.5009831567151235,4
30,0.016707775001123082,0.011504855909142409,1.5533430342749532,4
31,0.01735229499900015,0.012655341500056538,1.5533430342749532,7
32,0.01797054000053322,0.01342233189399944,1.6231562043547265,5
33,0.018731555999693228,0.014572817484913791,1.6406094968746698,5
34,0.019401474000915186,0.016106798272799372,1.7627825445142729,5
35,0.019896812998922542,0.017257283863713502,1.7802358370342162,-2
36,0.02037004000158049,0.018024274257656403,1.8849555921538759,4
37,0.020848288000706816,0.019174759848570533,1.9024088846738192,4
38,0.02143843700105208,0.020325245439484885,1.9722220547535925,3
39,0.02185131599981105,0.021092235833427564,2.0245819323134224,6
40,0.022338263999699848,0.022242721424341916,2.076941809873252,4
41,0.022828951001429232,0.023393207015256046,2.129301687433082,5
42,0.023332546999881743,0.024543692606170397,2.0943951023931953,7
43,0.023838461998821003,0.025694178197084527,2.129301687433082,4
44,0.024416296000708826,0.02684466378799888,2.199114857512855,7
45,0.024867201998858945,0.02799514937891301,2.2165681500327987,2
46,0.02541595100046834,0.02876213977285591,2.251474735072685,4
47,0.02587076100098784,0.03029612056074149,2.199114857512855,7
48,0.02641700700041838,0.03144660615165584,2.2863813201125716,7
49,0.02687157300169929,0.03259709174256997,2.356194490192345,-1
50,0.02743221900163917,0.0337475773334841,2.356194490192345,5
51,0.027939138999499846,0.034898062924398454,2.356194490192345,5
52,0.028441552000003867,0.036048548515312584,2.443460952792061,4
53,0.028852502000518143,0.037582529303198386,2.4609142453120048,5
54,0.02945113999885507,0.038733014894112516,2.443460952792061,5
55,0.029859809001209214,0.03988350048502687,2.4609142453120048,4
56,0.0304558839998208,0.041033986075941,2.4609142453120048,6
57,0.031192942999041406,0.04256796686382658,2.5132741228718345,7
58,0.03159765899908962,0.04448544284868361,2.5830872929516078,5
59,0.03222445099891047,0.04563592843959796,2.5830872929516078,5
60,0.03278476299965405,0.04716990922748354,2.652900463031381,5
61,0.03334276500027045,0.04870389001536912,2.6354471705114375,-2
62,0.033968019000894856,0.050237870803254925,2.7401669256310974,7
63,0.03446688999974867,0.052155346788111956,2.775073510670984,6
64,0.034981355998752406,0.053689327575997536,2.792526803190927,6
65,0.03546160800033249,0.05522330836388312,2.8623399732707004,9
66,0.03597565399832092,0.05637379395479747,2.827433388230814,7
67,0.03644693699970958,0.05790777474268305,2.91469985083053,8
68,0.03683348000049591,0.05905826033359718,2.9670597283903604,6
69,0.03733965499850456,0.06059224112148298,3.01941960595019,10
70,0.03782444600074086,0.06212622190936856,3.0892327760299634,8
71,0.03833202399982838,0.06366020269725414,3.0892327760299634,8
72,0.038820369001768995,0.06557767868211117,3.12413936106985,8
73,0.03919179099830217,0.06672816427302553,3.1066860685499065,8
74,0.03963146800015238,0.06787864986393966,3.2114058236695664,6
75,0.04014967799957958,0.06941263065182546,3.1764992386296798,7
76,0.040610471998661524,0.07094661143971104,3.2114058236695664,6
77,0.041124202998616965,0.07286408742456807,3.2288591161895095,8
78,0.041635952999058645,0.07439806821245365,3.368485456349056,8
79,0.04211345099975006,0.07631554419731068,3.4033920413889427,0
80,0.042668288999266224,0.07784952498519648,3.351032163829113,7
81,0.04305327000110992,0.07976700097005351,3.420845333908886,8
82,0.043491972999618156,0.08091748656096764,3.4033920413889427,0
83,0.044051035001757555,0.08283496254582468,3.490658503988659,8
84,0.04462275300102192,0.0847524385306817,3.4382986264288293,8
85,0.04512481799974921,0.08666991451553874,3.420845333908886,10
86,0.04561105700122425,0.08820389530342454,3.4382986264288293,8
87,0.04612629300027038,0.09012137128828157,3.473205211468716,8
88,0.046640527001727605,0.09165535207616715,3.543018381548489,8
89,0.04713219599943841,0.09357282806102418,3.4382986264288293,1
90,0.04761903499820619,0.09510680884890976,3.4382986264288293,9
91,0.04813518499940983,0.0970242848337668,3.4033920413889427,6
92,0.048642581001331564,0.0985582656216526,3.420845333908886,6
93,0.049053366001317045,0.10047574160650963,3.4033920413889427,8
94,0.049425350000092294,0.10162622719742376,3.4033920413889427,10
95,0.049853406999318395,0.10277671278833811,3.3161255787892263,6
96,0.05039192999902298,0.10431069357622369,3.3161255787892263,9
97,0.050830014999519335,0.10622816956108072,3.3161255787892263,6
98,0.0513261779997265,0.1077621503489663,3.246312408709453,6
99,0.051669133001269074,0.10891263593988065,3.246312408709453,8
100,0.05205705000116723,0.11006312153079478,3.246312408709453,4
101,0.05246778299988364,0.11121360712170913,3.2812189937493397,24
102,0.052954568000131985,0.11313108310656617,3.2288591161895095,8
103,0.05346424600065802,0.1142815686974803,3.1590459461097367,9
104,0.05394306200105348,0.11619904468233733,3.12413936106985,10
105,0.05446295900037512,0.11773302547022313,3.2114058236695664,11
106,0.054934765001235064,0.11926700625810871,3.2812189937493397,8
107,0.05541785300010815,0.12080098704599429,3.2288591161895095,11
108,0.055836226001702016,0.12233496783388009,3.2114058236695664,-3
109,0.05637821200070903,0.12386894862176567,3.246312408709453,9
110,0.05684020400076406,0.12540292940965125,3.246312408709453,9
111,0.05738088200087077,0.12732040539450828,3.2986722862692828,8
112,0.0578839900008461,0.12885438618239387,3.351032163829113,8
113,0.058381626000482356,0.13077186216725112,3.473205211468716,8
114,0.05880088200137834,0.13268933815210815,3.490658503988659,7
115,0.05923933599842712,0.13383982374302228,3.5081117965086026,8
116,0.059749817999545485,0.1357572997278793,3.5779249665883754,9
117,0.06024995799816679,0.13767477571273634,3.7000980142279785,10
118,0.060734185000910657,0.13959225169759337,3.7000980142279785,10
119,0.06125153299944941,0.1415097276824504,3.822271061867582,9
120,0.06174471000122139,0.14342720366730766,3.8920842319473548,12
121,0.06225229199844762,0.1453446796521647,3.9968039870670147,8
