,Time (sec),Angle (rad),Speed (rad/sec),Current (units)
0,0.0,0.0,0.0,0
1,0.00059284300004947,0.0,0.0,1
2,0.001339881000603782,0.0,0.0,6
3,0.0018878829978348222,0.0,0.0,7
4,0.0023979019970283844,0.0003834951969712286,0.03490658503988659,2
5,0.0030209990000003017,0.0003834951969712286,0.2792526803190927,5
6,0.0034524939983384684,0.0003834951969712286,0.2792526803190927,3
7,0.003936638997402042,0.0003834951969712286,0.06981317007977318,8
8,0.004474332999961916,0.0003834951969712286,0.0,3
9,0.00491032599893515,0.0003834951969712286,0.0,9
10,0.005307169998559402,0.0003834951969712286,0.0,3
11,0.005785590998129919,0.0003834951969712286,0.0,9
12,0.006165904997033067,0.0003834951969712286,0.0,8
13,0.006545975000335602,0.0003834951969712286,0.0,3
14,0.006925472000148147,0.0007669903939429012,0.017453292519943295,2
15,0.00743657899874961,0.0007669903939429012,0.2792526803190927,9
16,0.007909276999271242,0.0007669903939429012,0.2792526803190927,7
17,0.008290961999591673,0.0007669903939429012,0.22689280275926285,10
18,0.008684786000230815,0.0011504855909141298,0.06981317007977318,6
19,0.009162682999885874,0.0011504855909141298,0.2792526803190927,8
20,0.009569076999468962,0.0015339807878853584,0.2792526803190927,9
21,0.010069997999380575,0.0015339807878853584,0.4886921905584123,6
22,0.010556249999353895,0.001917475984857031,0.3490658503988659,4
23,0.01104761899841833,0.001917475984857031,0.47123889803846897,9
24,0.011552938998647733,0.0023009711818282597,0.4014257279586958,5
25,0.012070988999766996,0.0026844663787999323,0.4188790204786391,7
26,0.012568366997584235,0.003067961575771161,0.5585053606381855,7
27,0.013046795997070149,0.003067961575771161,0.6108652381980153,3
28,0.01360663199739065,0.0034514567727423895,0.5934119456780721,9
29,0.014136026999040041,0.003834951969714062,0.6457718232379019,7
30,0.014556242997059599,0.004218447166685291,0.7155849933176751,-3
31,0.01510358799714595,0.004601942363656963,0.8028514559173916,10
32,0.01562833099887939,0.005368932757599421,0.8552113334772214,4
33,0.01611424399743555,0.005752427954571093,0.9075712110370514,-1
34,0.01665496100031305,0.006135923151542322,0.8726646259971648,10
35,0.017121699998824624,0.0065194183485139945,0.9250245035569946,4
36,0.01757896499839262,0.007286408742456452,0.9948376736367679,4
37,0.01812396499735769,0.007669903939428124,1.064650843716541,9
38,0.01855272799730301,0.008436894333371026,1.117010721276371,7
39,0.01906902599876048,0.008820389530342254,1.117010721276371,10
40,0.01962625599844614,0.009587379924285155,1.2217304763960306,5
41,0.020198726997477934,0.010354370318228057,1.239183768915974,7
42,0.020750155999849085,0.011121360712170958,1.239183768915974,8
43,0.02121576999707031,0.011888351106113415,1.3089969389957472,9
44,0.021736053000495303,0.012655341500056316,1.3264502315156905,6
45,0.02221095300046727,0.013038836697027989,1.413716694115407,6
46,0.02277463399877888,0.013805827090970446,1.4835298641951802,7
47,0.023226291999890236,0.014572817484913347,1.4835298641951802,4
48,0.02383050199932768,0.015339807878856249,1.4486232791552935,12
49,0.024335034999239724,0.01649029346977038,1.361356816555577,13
50,0.024923548997321632,0.01725728386371328,1.4835298641951802,7
